station_key,led_index
CPLX_223,0
CPLX_222,1
CPLX_601,2
CPLX_232,3
CPLX_228,4
CPLX_607,5
CPLX_609,6
CPLX_225,7
CPLX_224,8
CPLX_619,9
CPLX_625,10
CPLX_234,11
CPLX_231,12
CPLX_167,13
CPLX_156,14
CPLX_154,15
CPLX_153,16
CPLX_152,17
CPLX_618,18
CPLX_151,19
CPLX_150,20
CPLX_149,21
CPLX_605,22
CPLX_147,23
CPLX_146,24
CPLX_145,25
CPLX_165,26
CPLX_164,27
CPLX_611,28
CPLX_162,29
CPLX_614,30
CPLX_160,31
CPLX_159,32
CPLX_158,33
CPLX_157,34
CPLX_169,35
CPLX_155,36
CPLX_624,37
CPLX_144,38
CPLX_628,39
CPLX_143,40
CPLX_168,41
CPLX_8,42
CPLX_613,43
CPLX_623,44
CPLX_20,45
CPLX_22,46
CPLX_635,47
CPLX_309,48
CPLX_307,49
CPLX_306,50
CPLX_305,51
CPLX_304,52
CPLX_303,53
CPLX_321,54
CPLX_301,55
CPLX_300,56
CPLX_298,57
CPLX_297,58
CPLX_320,59
CPLX_319,60
CPLX_318,61
CPLX_316,62
CPLX_314,63
CPLX_313,64
CPLX_312,65
CPLX_311,66
CPLX_310,67
CPLX_325,68
CPLX_308,69
CPLX_327,70
CPLX_323,71
CPLX_299,72
CPLX_326,73
CPLX_324,74
CPLX_296,75
CPLX_329,76
CPLX_328,77
CPLX_602,78
CPLX_14,79
CPLX_13,80
CPLX_10,81
CPLX_9,82
CPLX_16,83
CPLX_17,84
CPLX_119,85
CPLX_118,86
CPLX_333,87
CPLX_220,88
CPLX_471,89
CPLX_610,90
CPLX_103,91
CPLX_107,92
CPLX_622,93
CPLX_441,94
CPLX_440,95
CPLX_439,96
CPLX_438,97
CPLX_437,98
CPLX_436,99
CPLX_395,100
CPLX_394,101
CPLX_393,102
CPLX_392,103
CPLX_405,104
CPLX_404,105
CPLX_403,106
CPLX_612,107
CPLX_399,108
CPLX_398,109
CPLX_397,110
CPLX_396,111
CPLX_407,112
CPLX_414,113
CPLX_409,114
CPLX_413,115
CPLX_276,116
CPLX_277,117
CPLX_477,118
CPLX_476,119
CPLX_475,120
CPLX_31,121
CPLX_32,122
CPLX_608,123
CPLX_33,124
CPLX_34,125
CPLX_35,126
CPLX_37,127
CPLX_38,128
CPLX_617,129
CPLX_36,130
CPLX_39,131
CPLX_30,132
CPLX_28,133
CPLX_241,134
CPLX_245,135
CPLX_240,136
CPLX_246,137
CPLX_248,138
CPLX_249,139
CPLX_251,140
CPLX_252,141
CPLX_247,142
CPLX_236,143
CPLX_237,144
CPLX_243,145
CPLX_244,146
CPLX_242,147
CPLX_250,148
CPLX_253,149
CPLX_238,150
CPLX_235,151
CPLX_621,152
CPLX_177,153
CPLX_188,154
CPLX_627,155
CPLX_173,156
CPLX_175,157
CPLX_636,158
CPLX_180,159
CPLX_176,160
CPLX_185,161
CPLX_179,162
CPLX_182,163
CPLX_183,164
CPLX_187,165
CPLX_181,166
CPLX_186,167
CPLX_620,168
CPLX_41,169
CPLX_48,170
CPLX_49,171
CPLX_50,172
CPLX_52,173
CPLX_45,174
CPLX_55,175
CPLX_44,176
CPLX_46,177
CPLX_26,178
CPLX_51,179
CPLX_53,180
CPLX_47,181
CPLX_56,182
CPLX_43,183
CPLX_42,184
CPLX_54,185
CPLX_57,186
CPLX_133,187
CPLX_120,188
CPLX_131,189
CPLX_138,190
CPLX_127,191
CPLX_137,192
CPLX_122,193
CPLX_123,194
CPLX_126,195
CPLX_135,196
CPLX_629,197
CPLX_124,198
CPLX_125,199
CPLX_630,200
CPLX_136,201
CPLX_134,202
CPLX_130,203
CPLX_334,204
CPLX_289,205
CPLX_286,206
CPLX_290,207
CPLX_291,208
CPLX_287,209
CPLX_292,210
CPLX_283,211
CPLX_288,212
CPLX_284,213
CPLX_339,214
CPLX_345,215
CPLX_341,216
CPLX_626,217
CPLX_340,218
CPLX_336,219
CPLX_349,220
CPLX_344,221
CPLX_337,222
CPLX_352,223
CPLX_343,224
CPLX_350,225
CPLX_348,226
CPLX_347,227
CPLX_346,228
CPLX_351,229
CPLX_141,230
CPLX_91,231
CPLX_93,232
CPLX_89,233
CPLX_87,234
CPLX_86,235
CPLX_98,236
CPLX_95,237
CPLX_94,238
CPLX_100,239
CPLX_96,240
CPLX_99,241
CPLX_101,242
CPLX_97,243
CPLX_88,244
CPLX_90,245
CPLX_189,246
CPLX_114,247
CPLX_113,248
CPLX_357,249
CPLX_356,250
CPLX_359,251
CPLX_358,252
CPLX_353,253
CPLX_354,254
CPLX_355,255
CPLX_74,256
CPLX_75,257
CPLX_71,258
CPLX_79,259
CPLX_78,260
CPLX_76,261
CPLX_72,262
CPLX_77,263
CPLX_615,264
CPLX_58,265
CPLX_66,266
CPLX_67,267
CPLX_69,268
CPLX_61,269
CPLX_62,270
CPLX_64,271
CPLX_65,272
CPLX_59,273
CPLX_70,274
CPLX_68,275
CPLX_60,276
CPLX_221,277
CPLX_3,278
CPLX_5,279
CPLX_6,280
CPLX_2,281
CPLX_1,282
CPLX_4,283
CPLX_461,284
CPLX_129,285
CPLX_282,286
CPLX_606,287
CPLX_450,288
CPLX_449,289
CPLX_460,290
CPLX_459,291
CPLX_458,292
CPLX_457,293
CPLX_456,294
CPLX_455,295
CPLX_616,296
CPLX_453,297
CPLX_452,298
CPLX_447,299
CPLX_463,300
CPLX_451,301
CPLX_448,302
CPLX_464,303
CPLX_82,304
CPLX_81,305
CPLX_80,306
CPLX_85,307
CPLX_84,308
CPLX_83,309
CPLX_193,310
CPLX_194,311
CPLX_190,312
CPLX_191,313
CPLX_195,314
CPLX_192,315
CPLX_110,316
CPLX_109,317
CPLX_108,318
CPLX_111,319
CPLX_278,320
CPLX_280,321
CPLX_279,322
CPLX_255,323
CPLX_272,324
CPLX_270,325
CPLX_263,326
CPLX_268,327
CPLX_262,328
CPLX_260,329
CPLX_258,330
CPLX_266,331
CPLX_261,332
CPLX_265,333
CPLX_254,334
CPLX_259,335
CPLX_269,336
CPLX_256,337
CPLX_273,338
CPLX_271,339
CPLX_257,340
CPLX_264,341
CPLX_196,342
CPLX_197,343
CPLX_202,344
CPLX_208,345
CPLX_207,346
CPLX_206,347
CPLX_205,348
CPLX_204,349
CPLX_200,350
CPLX_201,351
CPLX_199,352
CPLX_209,353
CPLX_198,354
CPLX_203,355
CPLX_295,356
CPLX_294,357
CPLX_293,358
CPLX_604,359
CPLX_218,360
CPLX_217,361
CPLX_216,362
CPLX_214,363
CPLX_211,364
CPLX_213,365
CPLX_212,366
CPLX_210,367
CPLX_215,368
CPLX_443,369
CPLX_442,370
CPLX_444,371
CPLX_446,372
CPLX_445,373
CPLX_391,374
CPLX_603,375
CPLX_388,376
CPLX_387,377
CPLX_385,378
CPLX_383,379
CPLX_380,380
CPLX_384,381
CPLX_382,382
CPLX_381,383
CPLX_379,384
CPLX_386,385
CPLX_378,386
CPLX_428,387
CPLX_420,388
CPLX_419,389
CPLX_418,390
CPLX_434,391
CPLX_423,392
CPLX_425,393
CPLX_422,394
CPLX_426,395
CPLX_429,396
CPLX_421,397
CPLX_431,398
CPLX_433,399
CPLX_417,400
CPLX_424,401
CPLX_432,402
CPLX_430,403
CPLX_416,404
CPLX_427,405
CPLX_377,406
CPLX_376,407
CPLX_361,408
CPLX_365,409
CPLX_375,410
CPLX_374,411
CPLX_373,412
CPLX_369,413
CPLX_371,414
CPLX_372,415
CPLX_362,416
CPLX_368,417
CPLX_366,418
CPLX_360,419
CPLX_367,420
CPLX_363,421
CPLX_370,422
CPLX_364,423
